"","L","X","V","L_3","X_3","V_3","Porcentaje 1","Porcentaje 2","Rank1","Rank2","Tendencia_L","Tendencia_V","Victoria"
"273",3,1,0,2,1,0,40,32,5,17,50,90,"1"
"274",3,1,1,2,0,1,48,24,6,14,50,60,"1"
"275",0,1,4,0,1,2,44,30,11,10,70,25,"X"
"276",2,1,2,1,1,1,34,31,7,15,40,0,"1"
"277",0,3,0,0,3,0,65,14,19,20,20,10,"1"
"278",0,2,3,0,2,1,39,35,4,3,20,70,"1"
"279",0,0,5,0,0,3,28,48,9,1,75,70,"1"
"280",3,0,1,2,0,1,53,23,18,16,25,50,"X"
"281",0,2,3,0,1,2,58,21,4,1,90,95,"X"
"282",0,0,1,0,0,1,61,18,10,13,40,40,"2"
"283",2,2,1,1,1,1,20,56,19,6,30,45,"2"
"284",1,1,1,1,1,1,57,20,8,9,40,60,"1"
"285",1,1,1,1,1,1,62,17,6,8,65,60,"1"
"286",1,0,2,1,0,2,53,19,9,20,30,15,"X"
"287",1,1,0,1,1,0,28,44,2,5,100,60,"2"
"288",3,0,2,2,0,1,38,33,14,12,10,70,"2"
"289",2,3,0,2,1,0,46,27,17,19,15,55,"1"
"290",1,2,2,0,1,2,66,14,3,16,20,20,"1"
"291",0,1,0,0,1,0,39,32,13,10,60,100,"1"
"292",2,0,1,2,0,1,70,11,1,18,80,60,"1"
"293",0,4,1,0,3,0,42,30,15,22,NA,35,"X"
"294",1,3,1,1,2,0,22,50,21,4,20,80,"2"
"295",2,1,2,0,1,2,62,15,7,11,85,20,"1"
"296",2,1,2,1,0,2,28,44,20,15,20,50,"X"
"297",2,2,1,0,2,1,43,26,16,13,70,70,"1"
"298",4,1,0,3,0,0,78,8,8,9,70,50,"1"
"299",1,0,4,0,0,3,20,57,18,4,45,90,"2"
"300",2,0,3,2,0,1,27,52,3,1,30,NA,"2"
"301",2,0,3,2,0,1,40,29,11,12,70,75,"1"
"302",2,2,1,2,1,0,56,17,6,10,75,10,"1"
"303",1,1,3,1,0,2,32,37,14,1,40,85,"X"
"304",2,2,1,1,2,0,31,40,11,3,60,35,"1"
"305",3,2,0,2,1,0,42,25,6,22,80,25,"X"
"306",4,0,1,2,0,1,46,24,20,15,45,70,"X"
"307",2,2,1,2,1,0,29,43,8,5,50,100,"1"
"308",4,0,1,3,0,0,73,9,4,16,50,70,"1"
"309",0,3,2,0,1,2,35,33,18,9,60,75,"1"
"310",4,0,1,2,0,1,79,8,1,15,100,80,"1"
"311",2,0,3,2,0,1,36,30,8,5,50,70,"2"
"312",NA,NA,NA,NA,NA,NA,49,22,13,19,50,30,"1"
"313",1,0,4,1,0,2,34,36,10,7,50,60,"1"
"314",1,1,3,1,0,2,21,57,20,3,30,60,"1"
"315",0,0,5,0,0,3,16,54,11,2,70,25,"2"
"316",2,0,3,1,0,2,42,27,10,16,80,75,"1"
"317",1,0,1,1,0,1,60,17,8,19,55,10,"2"
"318",2,1,2,2,0,1,57,20,1,17,100,20,"X"
"319",1,3,1,1,2,0,41,28,22,9,50,20,"2"
"320",3,0,1,2,0,1,53,20,3,6,50,30,"2"
"321",2,3,0,1,2,0,59,16,3,7,80,70,"1"
"322",2,2,1,2,1,0,34,34,14,11,40,65,"1"
"323",0,2,3,0,2,1,24,54,5,1,95,80,"2"
"324",0,0,3,0,0,3,44,28,10,18,55,35,"1"
"325",2,2,1,1,2,0,44,28,15,13,80,50,"X"
"326",3,0,2,3,0,0,41,30,6,9,50,60,"1"
"327",4,1,0,3,0,0,73,10,2,12,80,50,"2"
"328",3,1,1,2,1,0,54,20,17,19,55,40,"1"
"329",2,0,3,0,0,3,32,35,15,9,75,20,"2"
"330",2,0,1,2,0,1,33,39,7,2,30,95,"X"
"331",1,3,1,0,2,1,41,28,16,17,40,20,"X"
"332",5,0,0,3,0,0,79,7,2,14,55,30,"1"
"333",1,0,0,1,0,0,78,7,4,20,100,30,"1"
"334",2,1,2,1,1,1,33,39,9,3,85,50,"2"
"335",2,2,1,1,1,1,32,39,10,5,40,75,"2"
"336",1,2,2,1,0,2,47,25,12,6,40,50,"2"
"337",1,0,4,0,0,3,15,66,18,1,60,65,"X"
"338",2,1,2,0,1,2,37,35,13,1,40,100,"2"
"339",0,2,1,0,2,1,54,18,11,16,5,50,"X"
"340",2,1,2,2,1,0,35,34,22,15,70,30,"1"
"341",1,2,1,1,1,1,45,23,7,8,40,15,"2"
"342",1,2,2,1,1,1,36,33,10,14,50,60,"2"
"343",3,2,0,3,0,0,67,14,2,7,75,40,"1"
"344",3,0,2,3,0,0,35,34,17,13,35,80,"2"
"345",3,1,1,2,1,0,68,13,3,16,70,65,"1"
"346",1,3,1,0,2,1,27,43,20,12,20,60,"X"
"347",2,2,1,1,1,1,62,17,5,18,80,65,"X"
"348",1,0,4,1,0,2,18,54,8,4,60,100,"2"
"349",0,2,3,0,1,2,13,69,11,1,40,50,"X"
"350",2,2,1,1,1,1,35,35,12,5,50,100,"2"
